key,value,lulc
building,allotment_house,developed - residential
building,annexe,developed - residential
building,apartments,developed - residential
building,bakehouse,developed - urban mixed use
building,barn,developed - open space
building,barracks,
building,beach_hut,
building,boathouse,developed - residential
building,bridge,
building,bungalow,developed - residential
building,bunker,
building,cabin,developed - residential
building,carport,developed - residential
building,castle,
building,cathedral,developed - urban mixed use
building,chapel,developed - urban mixed use
building,church,developed - urban mixed use
building,civic,developed - urban mixed use
building,college,developed - urban mixed use
building,commercial,developed - urban mixed use
building,conservatory,
building,construction,developed - construction
building,container,developed - urban mixed use
building,cowshed,
building,detached,developed - residential
building,digester,
building,dormitory,developed - residential
building,farm,developed - open space
building,farm_auxiliary,developed - open space
building,fire_station,developed - urban mixed use
building,garage,developed - urban mixed use
building,garages,developed - urban mixed use
building,gatehouse,
building,ger,
building,government,developed - urban mixed use
building,grandstand,developed - urban mixed use
building,greenhouse,developed - urban mixed use
building,guardhouse,
building,hangar,developed - urban mixed use
building,hospital,developed - urban mixed use
building,hotel,developed - urban mixed use
building,house,developed - residential
building,houseboat,developed - residential
building,hut,developed - open space
building,industrial,developed - urban mixed use
building,kindergarten,developed - urban mixed use
building,kingdom_hall,developed - urban mixed use
building,kiosk,developed - urban mixed use
building,livestock,developed - open space
building,military,
building,monastery,developed - urban mixed use
building,mosque,developed - urban mixed use
building,museum,developed - urban mixed use
building,office,developed - urban mixed use
building,outbuilding,
building,pagoda,developed - open space
building,parking,developed - urban mixed use
building,pavilion,developed - urban mixed use
building,presbytery,
building,public,developed - urban mixed use
building,quonset_hut,
building,religious,developed - urban mixed use
building,residential,developed - residential
building,retail,developed - urban mixed use
building,riding_hall,
building,roof,
building,ruins,
building,school,developed - urban mixed use
building,semidetached_house,developed - residential
building,service,developed - urban mixed use
building,shed,developed - residential
building,shrine,
building,silo,developed - urban mixed use
building,slurry_tank,
building,sports_centre,developed - urban mixed use
building,sports_hall,developed - urban mixed use
building,stable,
building,stadium,developed - urban mixed use
building,static_caravan,
building,stilt_house,developed - residential
building,storage_tank,developed - urban mixed use
building,sty,
building,supermarket,developed - urban mixed use
building,synagogue,developed - urban mixed use
building,tech_cab,
building,temple,developed - urban mixed use
building,tent,
building,terrace,developed - residential
building,toilets,
building,tower,
building,train_station,developed - urban mixed use
building,transformer_tower,
building,transportation,developed - urban mixed use
building,tree_house,
building,trullo,
building,university,developed - urban mixed use
building,user defined,
building,warehouse,developed - urban mixed use
building,water_tower,
building,windmill,
building,yes,developed - residential
water,basin,water
water,canal,water
water,ditch,water
water,fish_pass,water
water,lagoon,water
water,lake,water
water,lock,water
water,oxbow,water
water,pond,water
water,reflecting_pool,water
water,reservoir,water
water,river,water
water,stream_pool,water
water,wastewater,water
water,water,water
landuse,manmade_lake,water
water,glacier,snow-ice
natural,glacier,snow-ice
natural,mud,rock-soil
natural,shingle,rock-soil
natural,beach,rock-soil
natural,sand,rock-soil
natural,scree,rock-soil
natural,bare_rock,rock-soil
landuse,quarry,rock-soil
landuse,brownfield,rock-soil
landuse,landfill,rock-soil
landuse,forest,forest
natural,wood,forest
natural,scrub,scrubland
natural,heath,scrubland
natural,grassland,grassland
landuse,meadow,grassland
water,wetland,wetland
landuse,recreation_ground,developed - open space
landuse,village_green,developed - open space
leisure,golf_course,developed - open space
leisure,park,developed - open space
landuse,grass,developed - open space
landuse,residential,developed - residential
landuse,construction,developed - construction
landuse,commercial,developed - urban mixed use
landuse,garages,developed - urban mixed use
landuse,industrial,developed - urban mixed use
landuse,railway,developed - urban mixed use
landuse,retail,developed - urban mixed use
landuse,civic_admin,developed - urban mixed use
amenity,parking,developed - urban mixed use
amenity,motorcycle_parking,developed - urban mixed use
amenity,bicycle_parking,developed - urban mixed use
amenity,arts_centre,developed - urban mixed use
amenity,bus_station,developed - urban mixed use
amenity,college,developed - urban mixed use
amenity,community_centre,developed - urban mixed use
amenity,conference_centre,developed - urban mixed use
amenity,courthouse,developed - urban mixed use
amenity,fire_station,developed - urban mixed use
amenity,hospital,developed - urban mixed use
amenity,university,developed - urban mixed use
landuse,farmland,cropland
landuse,allotments,cropland
landuse,orchard,cropland
landuse,vineyard,cropland
landuse,plant_nursery,cropland
leisure,garden,cropland
landuse,Provincial Park,forest
landuse,cemetery,developed - open space
landuse,greenfield,developed - open space
landuse,education,developed - open space
landuse,logging,forest
landuse,reservation,developed - residential
landuse,retail;commercial,developed - urban mixed use
landuse,tourism,developed - open space
landuse,greenhouse_horticulture,developed - urban mixed use
landuse,aquaculture,water
landuse,winter_sports,developed - open space
landuse,traffic_island,
landuse,churchyard,developed - open space
landuse,civil,
landuse,recreation,
landuse,harbour,
landuse,power_transmission,
landuse,trailer_park,
landuse,logistics,
landuse,flowerbed,
landuse,car_parking,
landuse,animal_keeping,cropland
landuse,feedlot,
landuse,proposed,
landuse,agricultural,
landuse,disused:industrial,
landuse,basins,
landuse,utility,
landuse,facility,
landuse,storage,
landuse,emergency,
landuse,residential+disused,
landuse,institutional,
landuse,healthcare,
